query_idx,task_id,base_rank,docstring_rank,function_rank,docstring_change,function_change
89,HumanEval/89,1,1,5,0,-4
90,HumanEval/90,1,1,11,0,-10
91,HumanEval/91,1,1,6,0,-5
92,HumanEval/92,1,1,1,0,0
93,HumanEval/93,1,1,1,0,0
94,HumanEval/94,1,1,4,0,-3
95,HumanEval/95,1,1,2,0,-1
96,HumanEval/96,1,1,5,0,-4
97,HumanEval/97,1,1,22,0,-21
98,HumanEval/98,1,1,17,0,-16
99,HumanEval/99,1,1,2,0,-1
100,HumanEval/100,1,1,101,0,-100
101,HumanEval/101,1,1,26,0,-25
102,HumanEval/102,1,1,24,0,-23
103,HumanEval/103,1,1,2,0,-1
104,HumanEval/104,1,1,1,0,0
105,HumanEval/105,1,1,4,0,-3
106,HumanEval/106,1,2,57,-1,-56
107,HumanEval/107,1,1,1,0,0
108,HumanEval/108,1,1,3,0,-2
109,HumanEval/109,1,1,10,0,-9
110,HumanEval/110,1,1,2,0,-1
111,HumanEval/111,1,1,101,0,-100
112,HumanEval/112,1,1,10,0,-9
113,HumanEval/113,1,1,1,0,0
114,HumanEval/114,1,1,3,0,-2
115,HumanEval/115,1,1,1,0,0
116,HumanEval/116,1,2,9,-1,-8
117,HumanEval/117,1,1,1,0,0
118,HumanEval/118,1,1,1,0,0
119,HumanEval/119,1,1,21,0,-20
120,HumanEval/120,1,1,33,0,-32
121,HumanEval/121,1,2,25,-1,-24
122,HumanEval/122,1,1,1,0,0
123,HumanEval/123,1,1,1,0,0
124,HumanEval/124,1,1,1,0,0
125,HumanEval/125,1,1,14,0,-13
126,HumanEval/126,1,1,40,0,-39
127,HumanEval/127,1,1,1,0,0
128,HumanEval/128,1,1,1,0,0
129,HumanEval/129,1,1,3,0,-2
130,HumanEval/130,1,1,4,0,-3
131,HumanEval/131,1,1,1,0,0
132,HumanEval/132,1,1,13,0,-12
133,HumanEval/133,1,2,9,-1,-8
134,HumanEval/134,1,1,77,0,-76
135,HumanEval/135,1,1,89,0,-88
136,HumanEval/136,1,1,2,0,-1
137,HumanEval/137,1,1,1,0,0
138,HumanEval/138,1,1,98,0,-97
139,HumanEval/139,1,1,34,0,-33
140,HumanEval/140,1,1,45,0,-44
141,HumanEval/141,1,1,1,0,0
142,HumanEval/142,1,1,15,0,-14
143,HumanEval/143,1,1,5,0,-4
144,HumanEval/144,1,1,1,0,0
145,HumanEval/145,1,1,7,0,-6
146,HumanEval/146,1,1,7,0,-6
147,HumanEval/147,1,1,61,0,-60
148,HumanEval/148,1,1,1,0,0
149,HumanEval/149,1,1,42,0,-41
150,HumanEval/150,1,1,1,0,0
151,HumanEval/151,1,1,19,0,-18
152,HumanEval/152,1,1,1,0,0
153,HumanEval/153,1,1,1,0,0
154,HumanEval/154,1,1,101,0,-100
155,HumanEval/155,1,1,1,0,0
156,HumanEval/156,1,1,16,0,-15
157,HumanEval/157,1,1,18,0,-17
158,HumanEval/158,1,1,39,0,-38
159,HumanEval/159,1,1,1,0,0
160,HumanEval/160,1,1,2,0,-1
161,HumanEval/161,1,1,51,0,-50
162,HumanEval/162,1,1,1,0,0
163,HumanEval/163,1,1,19,0,-18
